tour,type,date,location,country,length (days),explaination
cartegena walking tour,culture,04/05/2024,Cartagena,Colombia,0.25,walking tour talking about the history of cartegena
ciudad perdida,hiking,03/08/2024,Santa Marta,Colombia,5,hiking to the lost city of the tayrona people in the sierra nevada. lots of ticks
taganga diving,scuba diving,03/15/2024,Taganga,Colombia,1,diving in the reefs near tayrona national park
el centro walking tour,culture,03/16/2024,Medellín,Colombia,0.5,walking tour through the center of medellin discussing the war
comuna 13,culture,03/21/2024,Medellín,Colombia,0.5,walking tour discussing the war and redevelopment of comuna 13 and its up and coming arts scene
coffee tour,food,03/29/2024,Salento,Colombia,0.5,coffee farm where they explained how they grow coffee and harvet it
los nevados parque nacional,nature,03/31/2024,Manizales,Colombia,1,"went up to see the glaciers in colombia, which felt like walking on the moon. relaxed at some host springs"
bogota bike tour,culture,04/01/2024,Bogotá,Colombia,1,biked around bogota learning about the history of the war and main infrastructure and locations
catedral de sal,culture,04/05/2024,Zipaquirá,Colombia,1,spent too much money to see jesus in an underground church. was a wild ride of religion and tourism
salsa class,dancing,04/11/2024,Cali,Colombia,0.1,took a salsa class with the amazing Christien who is so much fun to dance with
tomb horse riding,horse riding,04/14/2024,San Agustín,Colombia,1,amazing riding tour to learn about the history of the unknown tribe that lived in the area and seeing the tombs they created
quito walking tour,culture,04/20/2024,Quito,Ecuador,0.25,walking tour showing the history of quito
cotopaxi,hiking,04/21/2024,Cotopaxi,Ecuador,1,"hiked up to the refuge at cotopaxi. nice hike, but covered in clouds"
chocolate tour,food,04/22/2024,Mindo,Ecuador,0.1,explaination of how they gorw and make chocolate. great choclate tasting
canyoning,adventure,04/26/2024,Baños,Ecuador,0.5,"climbing down a set of waterfalls, and jumping off the last one"
white water rafting,adventure,04/26/2024,Baños,Ecuador,0.5,white water rafting down the pastaza river
white water rafting,adventure,05/01/2024,Baños,Ecuador,0.5,white water rafting down the pastaza river
cuenca walking tour,culture,05/09/2024,Cuenca,Ecuador,0.5,the longest walking tour ever learning about the religious history of cuenca
surf lesson,surfing,05/16/2024,Huanchaco,Peru,0.5,pretty bad surf lesson where we got pushed on white wash waves. waste of money
laguna 69,hiking,05/24/2024,Huarez,Peru,1,stunning hike seeing glaciers and going up to an amazing blue lake
horse riding with Maria,horse riding,05/25/2024,Huarez,Peru,1,horse riding up to a none existent view point on the worst horses ever
huayhuash trek,hiking,05/27/2024,Huarez,Peru,8,multi day trek around the stunning cordillera huayhuash. second most beautiful trek in the world
sand skiing,adventure,06/10/2024,Huacachina,Peru,0.5,sand skiing down the dunes of huacachina and dune buggy ripping
nazca planetarium,culture,06/12/2024,Cusco,Peru,0.1,historical talk about the Nazca lines and Maria Reiche who dedicated her life to protecting them
palcoyo mountain,hiking,06/23/2024,Cusco,Peru,1,going to see the mountains that have multiple minerals giving it rainbow colouring
arequipa walking tour,culture,06/26/2024,Arequipa,Peru,0.25,historical walking tour of the downtown of arequipa
uros floating islands,kayaking,07/02/2024,Puno,Peru,0.5,there are a bunch of floating island made out of reeds that people live on. 
cholitas,wrestling,07/06/2024,La Paz,Bolivia,0.25,women and men in traditional garb fighting it out in the most hilarious wrestling matches
death road,biking,07/08/2024,La Paz,Bolivia,1,mountain biking from high up along the death road into the rain forest. didnt die. could see how people did
crazy dave,culture,07/10/2024,La Paz,Bolivia,0.5,amazing. crazy dave!
pampas amazon tour,wildlife,07/12/2024,Rurrenabaque,Bolivia,3,trip into the floodlands of the amazon where we spent most of our time on a boat viewing wildlife (caimen and alligators)
selva amazon tour,nature,07/15/2024,Rurrenabaque,Bolivia,5,trip into the actual amazon rainforest with machetes and a wee bit of food to fish and build our own shelters. were lead by crazy indigenous Jesus. great dude
hyuana potosi,hiking,07/23/2024,La Paz,Bolivia,3,mountaineering trip to 6088m summit for sunrise. learned how to ice climb
huellas de dinosaurios + canyon,hiking,07/29/2024,Toro Toro,Bolivia,1,hike through a beautiful canyon and too see some 72 million year old dinosaur footprints
cidade de itas + cavernas,hiking,07/31/2024,Toro Toro,Bolivia,1,trip to visit a cool rock formation and did some splunking in small cool caves
sucre walking tour,culture,08/02/2024,Sucre,Bolivia,0.25,"historical walk through the city learning about indigenous, inca and spanish history"
salar de uyuni,nature,08/05/2024,Uyuni,Bolivia,3,"multi day tour to see the salt flats and the atacami desert, as well as some nice lakes"
cerro richo mine,culture,08/08/2024,Potosi,Bolivia,1,"we went into the active mines to learn about what it was like, and to blow up some dynamite"
rio da prata,snorkeling,08/16/2024,Bonito,Brazil,1,flotation through a beautiful super clear river. lots of fish and very relaxing. came very close to an alligator
gruta da lago azul,nature,08/17/2024,Bonito,Brazil,0.5,tour of a famous lake in a cave. very blue. very expensive
boia cross and avorismo,adventure,08/17/2024,Bonito,Brazil,0.5,floating down a river on tubes as well as climbing through trees. super safe. im better at it than 5 yr olds
betania tour,nature,09/06/2024,Barreirinhas,Brazil,1,tour in a 4x4 into the national park to see some lakes and dunes. very tourist. little heart
night camping in the dunes,nature,09/06/2024,Santo Amaro,Brazil,1,tour ito watch the stars and sleep in the dunes over night. woke up for a beautiful sunrise
lagoa rancharia,nature,09/07/2024,Santo Amaro,Brazil,1,tour to a more distant beautiful lake. stunning. stopped at another beautiful lake for an amazing sunset
natal buggy tour,adventure,09/17/2024,Natal,Brazil,1,buggy tour to sights and beaches north of natal. sim emocao
surf trip to fromoso bay,surfing,09/20/2024,Pipa,Brazil,1,surf trip to a different beach with a cute town. we had a lesson while there. i broke some guys board whoops.
porto buggy tour,adventure,09/27/2024,Porto de Galinhas,Brazil,1,buggy tour to see the main tourist sites and take pictures
piscinas naturais,snorkeling,09/30/2024,Maragogi,Brazil,1,"went to see the natural pools and do some snorkeling (or picture taking) and to see the jesus walk, that was covered in water"
vale do pati,hiking,10/7/2024,Lençóis,Brazil,3,trek into the valley to stay for 3 days to go see main viewpoints and waterfalls. stunning
chapada diamantina day trip,nature,10/12/2024,Lençóis,Brazil,1,took a van day tour to visit popular sights around the chapada
surfing trip to prainha,surfing,10/18/2024,Itacaré,Brazil,1,"took a lesson with a local guy wh brought us out to a nice beach to learn, surf and hangout at"
passeio ilhas paradisiacos,nature,11/28/2024,Ilha Grande,Brazil,1,"hanging out on a boat, snorkeling and visting beaches on little islands"
gordon rocks dive,scuba diving,01/18/2025,Santa Cruz,Ecuador,1,diving at a spectacular sight to see hammerhead sharks and rays
sierra negra volcano,hiking,01/27/2025,Isabela,Ecuador,1,a drive and walk to the biggest volcano crater on the island and to see the lava fields
los tuneles,snorkeling,01/28/2025,Isabela,Ecuador,1,"tour of a collapsed lava field with boobies, turtles, snorkeling and sea horses"
gordon rocks and punta carrion dive,scuba diving,02/09/2025,Santa Cruz,Ecuador,1,relaxed dive in punta carrion to then a dive gordon rocks getting up close to hammerheads
kicker rock,scuba diving,02/14/2025,San Cristobal,Ecuador,1,dive along the famous kicker rock to see hammerheads and bate balls
tikal,culture,02/18/2025,Flores,Guatemala ,1,guided tour through the Mayan ruins before spending some time on my own wandering through other parts of the ruins 
kanba caves,adventure,02/20/2025,Lanquin,Guatemala ,0.5,candle lit tour through flooded cave system
cacao ceremony,culture,02/24/2025,San Marcos de la laguna,Guatemala ,0.5,"mayan led ceremony on cacao and fire, including information on mayan calendar and spirits, as well as prayer"
mayan nose,hiking,02/26/2025,San Pedro de la laguna,Guatemala ,0.5,sunrise hike to look over lake atitlan and the volcanoes. quite cloudy
antigua walking tour,culture,03/01/2025,Antigua,Guatemala ,0.1,very excited walking tour by happy harold listening to the history of antigua
acatenango hike,hiking,03/02/2025,Antigua,Guatemala ,2,"beautiful hike up one volcano to see fuego, as well as a sunrise hike. sadly no explosions"
free diving course,free diving,03/10/2025,Utila,Honduras,3,"beginner course in free diving learning about technique, relaxation, breath holding and safety. dove twice - maximum depth of 15m. wnded with a lovely snorkel"
free diving session,free diving,03/13/2025,Utila,Honduras,0.25,was nervous going in but ended up getting my personal bests of 21m in FIM and 19.5m in CWT
volcano boarding,adventure,03/16/2025,León,Nicaragua,0.5,"hiking up a volcano, boarding down, party bus. craziness"
alejandro's history of leon,culture,03/31/2025,León,Nicaragua,0.25,amazing walking tour with alejandro who did a great job walking us through the history of both nicaragua and leon. this might have been one of the best and most informative walking tours I've been on
7 waterfalls and Chorros de la Caldera,hiking,04/04/2025,Juayúa,El Salvador,0.5,hike along 7 beautiful waterfalls as well as a swim and cliff jump into the chorros de la caldera
san salvador walking tour,culture,04/16/2025,San Salvador,El Salvador,0.25,"a look into el salvador history, the civil war, the gang conflicts and the response afterwords from the perspective of a 19yr old"
sardine run,wildlife,05/26/2025,Cintsa,South Africa,6,"with the right luck i managed to end up on the sardine run last minute. 5 days of 6-7 hours on the water searching for dolphins, birds, bait balls, sharks and whales. what an amazing experience"
protea banks,scuba diving,06/03/2025,Umkomaas,South Africa,1,"rough waves, sea sickness and a dropped bait ball made for an interesting excursion. did get to do a cool drift dive and see some raggies though"
hippo and croc boat,safari,06/10/2025,St Lucia,South Africa,0.25,the guide literally rammed us into a nest of hippos while i sat on the front of the boat. sick
2 mile reef dives,scuba diving,06/20/2025,Sodwana Bay,South Africa,0.5,chill shallow dives on pretty reef looking at some small stuff. colourful fish
9 mile reef dive,scuba diving,06/21/2025,Sodwana Bay,South Africa,0.25,single relaxed dive checking out some coral and fun fishies
aliwal shoal,scuba diving,06/23/2025,Umkomaas,South Africa,0.5,really fun heavy current dives. got up close and personal with some ragged tooth sharks. had an adventure on the descent and had to drag through current. still super fun
satara sunset drive,safari,06/30/2025,Kruger,South Africa,0.25,"amazing game drive. got to see a buffalo kill with some lion cubs eating it. saw hyena, saw male lions. gorgeous sunset"
lower sabie sunset drive,safari,07/09/2025,Kruger,South Africa,0.25,"got to see lions, a leopard, genets and lots more. petross the guide is tedious"
lower sabie morning walk,safari,07/10/2025,Kruger,South Africa,0.25,"interesting walk in the kruger. heard some lions, saw some elephants, got lectured about pharmaceuticals and how everything is caused by sugar. better at identifying poop and footprints now"
mount mulanje hike,hiking,07/16/2025,Likhubula,Malawi,3,"malawians really like to walk straight up mountains. no switch backs. amazing cabins, people and hiking with henry"
reggies and office deep dives,scuba diving,08/10/2025,Tofo,Mozambique,1,"nice dives, some rays and a sleeping leopard shark"
peri peri ocean safari,safari,08/12/2025,Tofo,Mozambique,0.5,its like they tried to stay as far away from whales as possible
reggies and sherwood deep dives,scuba diving,08/13/2025,Tofo,Mozambique,1,"currenty dives on some reefs, saw lots of rays including small eyed stingrays and marbled electric rays"
tofo scuba ocean safari,safari,08/16/2025,Tofo,Mozambique,0.5,"incredible luck. swam with whal sharks threee times. saw a pod of dolphins. just missed seeing whales in the water, but saw a lot from the surface"
bazaruto boat tour,adventure,08/19/2025,Vilankulos,Mozambique,1,"beautiful water, dunes and island. super expensive. ate my body weight in prawns, calamari and fish to make up for it. get those beans away from me"
sunset dhow,adventure,08/22/2025,Vilankulos,Mozambique,0.25,best last minute deal we could have made to. very authenic and very wet. slow leak in boat included
shark dive,scuba diving,09/01/2025,Ponta do Ouro,Mozambique,0.5,it was just the 2 sharks actually. and a lot of sea sickness. not worth it
mantenga swazi cultural village,culture,09/11/2025,Lobamba,Eswatini,0.25,"amazing dancing, singing and culture. some questionable jokes though. yea"
donkey pub crawl,adventure,09/15/2025,Semonkong,Lesotho,0.25,getting drunk on the back of donkeys. we stole them for a short while too